RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DURATION,CURRENT_SAC_END_TIME,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_TIME,TRIAL_INDEX,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,TRIAL_LABEL
alcohol_01,1.28,58.02,FALSE,22,918,3,99.66,211189,897,21,9,210282,Trial: 21
alcohol_01,21.06,280.79,FALSE,75,1430,4,433.6,211669,1356,21,9,210282,Trial: 21
alcohol_01,2.95,101.68,FALSE,29,1568,5,180.71,211835,1540,21,9,210282,Trial: 21
alcohol_01,19.97,208.07,FALSE,96,1900,6,373.06,212105,1805,21,9,210282,Trial: 21
alcohol_01,5.68,135.18,FALSE,42,2419,7,215.74,212675,2378,21,9,210282,Trial: 21
alcohol_01,1.79,77.66,FALSE,23,3311,8,117.54,213582,3289,21,9,210282,Trial: 21
alcohol_01,0.65,54.28,FALSE,12,4234,9,53.26,214509,4223,21,9,210282,Trial: 21
alcohol_01,1.07,7.25,TRUE,147,180,1,984.43,214650,34,22,10,214585,Trial: 22
alcohol_01,6.65,120.85,FALSE,55,470,2,234.97,215015,416,22,10,214585,Trial: 22
alcohol_01,3.9,125.84,FALSE,31,652,3,241.62,215221,622,22,10,214585,Trial: 22
alcohol_01,1.61,73.24,FALSE,22,789,4,120.37,215363,768,22,10,214585,Trial: 22
alcohol_01,22.54,296.58,FALSE,76,1049,5,462.34,215590,974,22,10,214585,Trial: 22
alcohol_01,1.55,70.58,FALSE,22,1604,6,101.42,216178,1583,22,10,214585,Trial: 22
alcohol_01,18.76,37.15,TRUE,505,2284,7,727.37,216415,1780,22,10,214585,Trial: 22
alcohol_01,0.92,61.55,FALSE,15,3376,8,73.14,217955,3362,22,10,214585,Trial: 22
alcohol_01,3.95,131.59,FALSE,30,3693,9,242.05,218263,3664,22,10,214585,Trial: 22
alcohol_01,1.01,56.23,FALSE,18,3853,10,77.51,218429,3836,22,10,214585,Trial: 22
alcohol_01,5.71,163.23,FALSE,35,657,1,336.61,219496,623,23,8,218857,Trial: 23
alcohol_01,5.68,113.69,FALSE,50,776,2,333.86,219599,727,23,8,218857,Trial: 23
alcohol_01,21.24,255.96,FALSE,83,1114,3,457.2,219924,1032,23,8,218857,Trial: 23
alcohol_01,14.16,40.81,TRUE,347,2077,4,946,220648,1731,23,8,218857,Trial: 23
alcohol_01,3.22,103.71,FALSE,31,2421,5,189.41,221262,2391,23,8,218857,Trial: 23
alcohol_01,3.65,114.16,FALSE,32,2786,6,208.38,221626,2755,23,8,218857,Trial: 23
alcohol_01,3.24,124.48,FALSE,26,3290,7,190.74,222135,3265,23,8,218857,Trial: 23
alcohol_01,0.38,41.78,FALSE,9,3685,8,37.42,222538,3677,23,8,218857,Trial: 23
alcohol_01,10.24,200.87,FALSE,51,781,1,361.24,224262,731,24,8,223514,Trial: 24
alcohol_01,1.87,74.91,FALSE,25,919,2,144.37,224421,895,24,8,223514,Trial: 24
alcohol_01,0.76,54.57,FALSE,14,1141,3,58.91,224648,1128,24,8,223514,Trial: 24
alcohol_01,20.69,272.29,FALSE,76,1648,4,422.63,225121,1573,24,8,223514,Trial: 24
alcohol_01,7.72,29.48,TRUE,262,2021,5,1531.15,225296,1760,24,8,223514,Trial: 24
alcohol_01,3.36,108.26,FALSE,31,2309,6,199.63,225805,2279,24,8,223514,Trial: 24
alcohol_01,1.86,81.02,FALSE,23,2788,7,126.45,226291,2766,24,8,223514,Trial: 24
alcohol_01,0.21,41.62,FALSE,5,3836,8,31.36,227348,3832,24,8,223514,Trial: 24
